shape,activations,loss_func,normalize,optimizer,validation_split,epochs,eps,experiments,loss,huber_loss,kl_divergence,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,poisson,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_kl_divergence,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_poisson,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.05618486553430557,0.028092432767152786,0.19993387162685394,0.027659419924020767,0.21012189984321594,82.42964935302734,0.05618486553430557,0.028880668804049492,0.7941552400588989,0.8242965340614319,1.1542268991470337,0.38274502754211426,0.23703347146511078,0.9375,4.853423118591309,0.8248602747917175,0.03694428876042366,0.01847214438021183,0.10523483902215958,0.01825634390115738,0.156500905752182,73021048.0,0.03694428876042366,0.024377841502428055,0.6645102500915527,0.3577795624732971,1.0341991186141968,0.29208412766456604,0.19220897555351257,1.0,0.44998258352279663,0.25382161140441895
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.042628880590200424,0.021314440295100212,0.07605631649494171,0.02107730135321617,0.18442894518375397,102.91773986816406,0.042628880590200424,0.023142609745264053,0.7733588218688965,1.0291774272918701,1.0130921602249146,0.34337955713272095,0.2064676284790039,0.9375,6.939502716064453,1.0315684080123901,0.045182306319475174,0.022591153159737587,0.014912718906998634,0.022101551294326782,0.15998661518096924,98466200.0,0.045182306319475174,0.030686505138874054,0.6758595108985901,0.29813575744628906,1.0572335720062256,0.3938647210597992,0.21256129443645477,1.0,0.3938647210597992,0.24506816267967224
"[1, 4, 8, 16, 32, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.05522177368402481,0.027610886842012405,0.193982794880867,0.027195628732442856,0.2091069370508194,83.31706237792969,0.05522177368402481,0.02840288355946541,0.792506217956543,0.8331705927848816,1.1486515998840332,0.378551185131073,0.2349931299686432,1.0,4.9426116943359375,0.8331705927848816,0.03689172491431236,0.01844586245715618,0.10061529278755188,0.018225498497486115,0.15427836775779724,74175096.0,0.03689172491431236,0.024429291486740112,0.6644213795661926,0.34784355759620667,1.0195119380950928,0.2967003285884857,0.19207218289375305,1.0,0.4415949285030365,0.24619372189044952
"[1, 4, 8, 16, 32, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.042421407997608185,0.021210703998804092,0.061413876712322235,0.020964648574590683,0.18204712867736816,106.07518005371094,0.042421407997608185,0.023268364369869232,0.7730979323387146,1.0607517957687378,1.000008463859558,0.3577600419521332,0.2059645801782608,0.9375,7.230123996734619,1.0623496770858765,0.04780202731490135,0.023901013657450676,0.004801608622074127,0.02334585040807724,0.1666763871908188,101811064.0,0.04780202731490135,0.03229483217000961,0.6791287064552307,0.30826395750045776,1.1014413833618164,0.4072442054748535,0.21863675117492676,1.0,0.4072442054748535,0.26188603043556213
"[1, 32, 16, 8, 4, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.07541467249393463,0.037707336246967316,0.30196547508239746,0.036875948309898376,0.2340397983789444,72.61439514160156,0.07541467249393463,0.03925110772252083,0.8319870233535767,0.7261439561843872,1.2856110334396362,0.44703543186187744,0.2746173143386841,0.9375,3.5578668117523193,0.7266702055931091,0.042239345610141754,0.021119672805070877,0.17867127060890198,0.020886149257421494,0.18800294399261475,57305920.0,0.042239345610141754,0.026515861973166466,0.6750143766403198,0.49611300230026245,1.2423728704452515,0.3021197021007538,0.20552213490009308,1.0,0.5685231685638428,0.3607247471809387
"[1, 32, 16, 8, 4, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.04833885654807091,0.024169428274035454,0.14665934443473816,0.023870743811130524,0.20006105303764343,90.51534271240234,0.04833885654807091,0.025161100551486015,0.781430721282959,0.9051533341407776,1.098961353302002,0.34233200550079346,0.2198610007762909,1.0,5.675759792327881,0.9051533937454224,0.037804849445819855,0.018902424722909927,0.06539696455001831,0.0186208114027977,0.1427934467792511,83337880.0,0.037804849445819855,0.025607887655496597,0.665831446647644,0.28867074847221375,0.9436166286468506,0.3333514928817749,0.19443468749523163,0.75,0.37270498275756836,0.2071840465068817
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,SGD,0.2,50,0.01,True,0.03681568056344986,0.01840784028172493,0.15067580342292786,0.018224885687232018,0.16984963417053223,65.80943298339844,0.03681568056344986,0.018382128328084946,0.7629150748252869,0.6580943465232849,0.9330061078071594,0.3007725477218628,0.19187413156032562,0.9375,3.8886592388153076,0.6611513495445251,0.02524726092815399,0.012623630464076996,0.08864042162895203,0.012526128441095352,0.13308168947696686,59166896.0,0.02524726092815399,0.01689058542251587,0.6436268091201782,0.3542920649051666,0.8794387578964233,0.23666752874851227,0.1588938683271408,1.0,0.3755873441696167,0.22262582182884216
"[1, 10, 23, 42, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.042420461773872375,0.021210230886936188,0.06140049174427986,0.020964190363883972,0.18204358220100403,106.07687377929688,0.042420461773872375,0.023268064484000206,0.7730967998504639,1.060768723487854,0.9999890327453613,0.35776862502098083,0.20596228539943695,0.9375,7.230297565460205,1.0623646974563599,0.047803185880184174,0.023901592940092087,0.004794176667928696,0.023346371948719025,0.16667963564395905,101812584.0,0.047803185880184174,0.03229554742574692,0.6791300773620605,0.30827051401138306,1.1014628410339355,0.4072502851486206,0.21863940358161926,1.0,0.4072502851486206,0.26189565658569336
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,0.00525498203933239,0.002627491019666195,-0.032887913286685944,0.002619772218167782,0.047814302146434784,42.993900299072266,0.00525498203933239,0.003729133866727352,0.7253208160400391,0.42993903160095215,0.26265016198158264,0.16324657201766968,0.07249125838279724,0.4375,3.299118995666504,0.4507664144039154,0.0076927244663238525,0.0038463622331619263,-0.015728319063782692,0.0038298815488815308,0.06077946722507477,41954496.0,0.0076927244663238525,0.0063733262941241264,0.6125990748405457,0.26302099227905273,0.4016466736793518,0.16781798005104065,0.08770817518234253,0.75,0.16781798005104065,0.10737286508083344
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,0.042777903378009796,0.021388951689004898,0.040408097207546234,0.021115290001034737,0.17914974689483643,110.87728118896484,0.042777903378009796,0.023784834891557693,0.7735229730606079,1.1087727546691895,0.9840928316116333,0.37879544496536255,0.20682819187641144,0.9375,7.655237197875977,1.1111586093902588,0.05176542326807976,0.02588271163403988,-0.008255455642938614,0.025230035185813904,0.17544955015182495,106184784.0,0.05176542326807976,0.03464554250240326,0.6838906407356262,0.32174086570739746,1.159416675567627,0.4247390627861023,0.227520152926445,1.0,0.4247390627861023,0.284110426902771
