shape,activations,loss_func,normalize,optimizer,validation_split,epochs,eps,experiments,loss,huber_loss,kl_divergence,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,poisson,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_kl_divergence,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_poisson,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation,train_time,predict_loss,predict_huber_loss,predict_kl_divergence,predict_log_cosh,predict_mean_absolute_error,predict_mean_absolute_percentage_error,predict_mean_squared_error,predict_mean_squared_logarithmic_error,predict_poisson,predict_relative,predict_rae,predict_my_mae,predict_root_mean_squared_error,predict_inlier_ratio,predict_max_deviation,predict_mean_deviation,evaluate_time
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,21.9058895111084,2.835453748703003,0.0,2.686408519744873,3.311893939971924,57.65092086791992,21.9058895111084,0.25214940309524536,-5.4428911209106445,0.5765091776847839,0.9957171082496643,13.747882843017578,4.680372714996338,0.9285714030265808,1.077115535736084,0.576711118221283,8.173501014709473,2.2640435695648193,0.0,2.079714059829712,2.7640435695648193,56.60731506347656,8.173501014709473,0.1701028048992157,-3.8395228385925293,0.5660731196403503,1.1793253421783447,3.8419504165649414,2.858933448791504,1.0,0.859614372253418,0.5660731792449951,28.44458556175232,33.77559280395508,5.298247814178467,-0.2596995532512665,5.105111122131348,5.798247814178467,1504.6982421875,33.68829345703125,2.484959363937378,5.325312614440918,15.046979904174805,27.73679542541504,6.210254192352295,5.8116774559021,1.0,48.81338119506836,15.046982765197754,0.22765707969665527
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,21.920419692993164,2.837217330932617,0.0,2.6881535053253174,3.313660144805908,57.69574737548828,21.920419692993164,0.2524198889732361,-5.441746234893799,0.5769575238227844,0.996248185634613,13.749974250793457,4.681924819946289,0.9285714030265808,1.0784252882003784,0.5771629214286804,8.178568840026855,2.2643086910247803,0.0,2.080008029937744,2.7643086910247803,56.59804153442383,8.178568840026855,0.1701529622077942,-3.8391242027282715,0.5659804344177246,1.1794384717941284,3.8464622497558594,2.8598196506500244,1.0,0.8595925569534302,0.5659804344177246,29.6124165058136,33.75484848022461,5.2966156005859375,-0.2596995532512665,5.10347843170166,5.796614646911621,1503.9586181640625,33.668270111083984,2.484166383743286,5.3237385749816895,15.03958797454834,27.729398727416992,6.205322742462158,5.809892177581787,1.0,48.773468017578125,15.03958797454834,0.24878525733947754
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,SGD,0.2,50,0.01,True,28.6408748626709,2.7103397846221924,0.0,2.5914573669433594,3.1707546710968018,38.52416229248047,28.6408748626709,0.32578182220458984,-4.7126007080078125,0.38524165749549866,0.9532837867736816,16.29715347290039,5.351716995239258,0.9285714030265808,0.8108036518096924,0.3877177834510803,10.12785530090332,1.611994743347168,0.0,1.542234182357788,1.999316692352295,27.236637115478516,10.12785530090332,0.18110769987106323,-3.597357988357544,0.27236637473106384,0.8530418872833252,6.254484176635742,3.182429075241089,1.0,0.6131847500801086,0.27236637473106384,26.585468292236328,14.017882347106934,3.2440152168273926,-0.2596995532512665,3.0514273643493652,3.7440149784088135,945.348388671875,14.017647743225098,1.5483782291412354,3.473773241043091,9.453483581542969,17.944595336914062,3.745734214782715,3.744046211242676,1.0,29.34471321105957,9.453483581542969,0.22363924980163574
"[1, 18, 34, 43, 1]","ListWrapper(['linear', 'linear', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,21.916093826293945,2.8487322330474854,0.0,2.699092388153076,3.325883388519287,58.1522216796875,21.916093826293945,0.25345396995544434,-5.4420857429504395,0.5815222859382629,0.9999229311943054,13.719974517822266,4.68146276473999,1.0,1.0877693891525269,0.5815222859382629,8.2208251953125,2.2769391536712646,0.0,2.092210292816162,2.7769393920898438,57.025779724121094,8.2208251953125,0.17149566113948822,-3.8358051776885986,0.5702577829360962,1.1848275661468506,3.820112705230713,2.8671982288360596,1.0,0.8670241236686707,0.5702577829360962,28.911630630493164,34.05455017089844,5.322343349456787,-0.2596995532512665,5.12920618057251,5.822343349456787,1510.5245361328125,33.967437744140625,2.4951443672180176,5.34723424911499,15.105242729187012,27.852622985839844,6.231764316558838,5.835627555847168,1.0,48.98086929321289,15.105242729187012,0.23891496658325195
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,21.749967575073242,3.057542085647583,0.0,2.89912748336792,3.5231730937957764,66.03966522216797,21.749967575073242,0.271864116191864,-5.453365802764893,0.6603965759277344,1.0592379570007324,13.06304931640625,4.663686275482178,0.9285714030265808,1.2372342348098755,0.6637337803840637,9.323623657226562,2.532865047454834,0.0,2.342702627182007,3.032865047454834,66.39569091796875,9.323623657226562,0.20392103493213654,-3.7525246143341064,0.6639569997787476,1.294022560119629,3.5002310276031494,3.0534608364105225,1.0,1.0244578123092651,0.6639569997787476,29.175912857055664,41.562313079833984,5.9272780418396,-0.2596995532512665,5.734135627746582,6.427278518676758,1677.3427734375,41.432804107666016,2.752570152282715,5.905114650726318,16.773427963256836,30.733495712280273,6.97865629196167,6.4468841552734375,1.0,54.88795471191406,16.773427963256836,0.24364852905273438
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,23.963855743408203,2.4831395149230957,0.0,2.3562700748443604,2.938622236251831,39.39592361450195,23.963855743408203,0.24009080231189728,-5.252723693847656,0.39395925402641296,0.8834933638572693,15.149267196655273,4.895288944244385,0.9285714030265808,0.7536948919296265,0.39668089151382446,7.704229354858398,1.6327627897262573,0.0,1.5221112966537476,2.1057233810424805,34.48816680908203,7.704229354858398,0.13237692415714264,-3.8749632835388184,0.34488165378570557,0.8984420895576477,5.166633605957031,2.775649309158325,1.0,0.5065327286720276,0.34488165378570557,29.805677890777588,20.18698501586914,3.9781103134155273,-0.2596995532512665,3.785109758377075,4.478110313415527,1170.913330078125,20.12039566040039,1.9039418697357178,4.13471794128418,11.709136009216309,21.410131454467773,4.884850025177002,4.492992877960205,1.0,38.428077697753906,11.709136009216309,0.243973970413208
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,Adam,0.2,50,0.01,True,55.548954010009766,5.214776039123535,0.42792657017707825,5.024838924407959,5.714776515960693,84.64924621582031,55.548954010009766,2.1397297382354736,4.1679205894470215,0.8464924693107605,1.7181410789489746,19.636518478393555,7.4531168937683105,1.0,0.9769412279129028,0.8464924693107605,31.416425704956055,4.341146469116211,0.4094618558883667,4.149805545806885,4.841146469116211,84.74763488769531,31.416425704956055,1.8376636505126953,3.3272202014923096,0.8474763631820679,2.065556049346924,9.67813491821289,5.605035781860352,1.0,0.9488368034362793,0.8474763631820679,26.940645694732666,0.03784213215112686,0.018390579149127007,-0.09364332258701324,0.01814390905201435,0.15545883774757385,57.544593811035156,0.03678115829825401,0.018524091690778732,0.8586813807487488,0.5754458904266357,0.719319224357605,0.3488824665546417,0.19453054666519165,0.8221982717514038,2.8171515464782715,0.5799775123596191,0.22313380241394043
"[1, 33, 53, 38, 25, 39, 1]","ListWrapper(['sigmoid', 'linear', 'sigmoid', 'linear', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,21.951183319091797,2.7796289920806885,0.0,2.6330301761627197,3.249619960784912,55.3299560546875,21.951183319091797,0.24728883802890778,-5.4392876625061035,0.5532995462417603,0.9769944548606873,13.899290084838867,4.685208797454834,0.9285714030265808,1.0295177698135376,0.5552641153335571,7.898568153381348,2.1706840991973877,0.0,1.9902606010437012,2.6706840991973877,53.45674133300781,7.898568153381348,0.16077519953250885,-3.861476421356201,0.5345674157142639,1.1394920349121094,4.033631324768066,2.810439109802246,1.0,0.804790735244751,0.5345674157142639,32.25353145599365,31.616708755493164,5.109400749206543,-0.2596995532512665,4.916268825531006,5.609400749206543,1456.701416015625,31.532915115356445,2.4040207862854004,5.153182506561279,14.567015647888184,26.83208656311035,6.018162250518799,5.622873783111572,1.0,47.307254791259766,14.567015647888184,0.25385546684265137
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,RMSprop,0.2,50,0.01,True,8.145505905151367,1.7048938274383545,0.010133055970072746,1.56732177734375,2.187974452972412,35.97291946411133,8.145505905151367,0.1266539990901947,-6.245579719543457,0.35972920060157776,0.6578120589256287,8.319013595581055,2.8540332317352295,1.0,0.7159850597381592,0.35972920060157776,2.2540946006774902,0.8250055313110352,0.0,0.7359331250190735,1.230708122253418,27.01728057861328,2.2540946006774902,0.0552903488278389,-4.302829265594482,0.2701728045940399,0.5251021981239319,2.4075164794921875,1.5013642311096191,1.0,0.535003662109375,0.2701728045940399,32.076064109802246,46.07864761352539,5.161828994750977,-0.2361983209848404,4.998581886291504,5.634683609008789,1991.8726806640625,44.892250061035156,2.50184965133667,5.467175483703613,19.918733596801758,26.240819931030273,11.383493423461914,6.788125514984131,0.9924569129943848,91.45614624023438,19.918916702270508,0.23390984535217285
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,RMSprop,0.2,50,0.01,True,22.919292449951172,2.5471644401550293,0.0,2.411184310913086,2.9997220039367676,44.047271728515625,22.919292449951172,0.2343280166387558,-5.354163646697998,0.44047269225120544,0.9018630385398865,14.718667984008789,4.787409782409668,0.9285714030265808,0.7622972130775452,0.4438129961490631,7.479056358337402,1.811530590057373,0.0,1.6692427396774292,2.311169147491455,41.385169982910156,7.479056358337402,0.13629676401615143,-3.8967018127441406,0.4138517379760742,0.9860989451408386,4.754855632781982,2.73478627204895,1.0,0.5942509770393372,0.4138517379760742,32.344831466674805,24.046117782592773,4.389399528503418,-0.2596995532512665,4.196316242218018,4.88939905166626,1274.7987060546875,23.973316192626953,2.088850498199463,4.502294063568115,12.747987747192383,23.3813419342041,5.296721458435059,4.903684139251709,1.0,41.65491485595703,12.747987747192383,0.23362278938293457
