shape,activations,loss_func,normalize,optimizer,validation_split,epochs,eps,experiments,loss,huber_loss,kl_divergence,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,poisson,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_kl_divergence,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_poisson,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.06099167838692665,0.030495839193463326,0.22780165076255798,0.026931878179311752,0.10544298589229584,746615.25,0.06099167838692665,0.029627952724695206,0.3201853334903717,7466.1533203125,0.7910365462303162,0.959019124507904,0.2469649314880371,1.0,63433.20703125,7466.15234375,0.047256335616111755,0.023628167808055878,0.2813831865787506,0.022946517914533615,0.1329110711812973,18906.205078125,0.047256335616111755,0.03079173155128956,0.4360986351966858,189.06207275390625,0.7636632323265076,0.4304164946079254,0.2173852175474167,1.0,719.6891479492188,189.06207275390625
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.05884851515293121,0.029424257576465607,0.1654735952615738,0.026404136791825294,0.1309526562690735,1520217.25,0.05884851515293121,0.029126150533556938,0.3004574775695801,15202.171875,0.9824109077453613,0.9163638949394226,0.2425871342420578,1.0,129140.734375,15202.1728515625,0.042105644941329956,0.021052822470664978,0.1952328383922577,0.020594429224729538,0.1538570523262024,37809.08984375,0.042105644941329956,0.027472911402583122,0.39187297224998474,378.0909118652344,0.8840119242668152,0.38845938444137573,0.20519660413265228,1.0,1438.3134765625,378.0909118652344
"[1, 4, 8, 16, 32, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.059851277619600296,0.029925638809800148,0.20130522549152374,0.026554614305496216,0.1133713647723198,1008874.875,0.059851277619600296,0.029088307172060013,0.3081577718257904,10088.748046875,0.8505154252052307,0.9444977045059204,0.24464520812034607,1.0,85704.4453125,10088.748046875,0.04510121047496796,0.02255060523748398,0.2448885589838028,0.021953079849481583,0.1400398463010788,25339.947265625,0.04510121047496796,0.029290329664945602,0.4138927161693573,253.39947509765625,0.8046228289604187,0.4160967469215393,0.21237045526504517,1.0,964.2666015625,253.39947509765625
"[1, 4, 8, 16, 32, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.05883484333753586,0.02941742166876793,0.16165751218795776,0.026441575959324837,0.13328813016414642,1588157.5,0.05883484333753586,0.029233764857053757,0.3003769814968109,15881.57421875,0.9999315738677979,0.9126307964324951,0.24255894124507904,1.0,134912.3125,15881.57421875,0.041838131844997406,0.020919065922498703,0.19020412862300873,0.0204759668558836,0.15559084713459015,39373.703125,0.041838131844997406,0.027341190725564957,0.3903104066848755,393.73699951171875,0.8939737677574158,0.3849946856498718,0.20454370975494385,1.0,1497.797119140625,393.73699951171875
"[1, 32, 16, 8, 4, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.06088045611977577,0.030440228059887886,0.2253296673297882,0.02689223177731037,0.10599180310964584,766556.4375,0.06088045611977577,0.029566727578639984,0.31884679198265076,7665.564453125,0.795153796672821,0.9578395485877991,0.24673965573310852,1.0,65121.1015625,7665.564453125,0.04706960543990135,0.023534802719950676,0.2780844271183014,0.022860072553157806,0.1334485113620758,19391.646484375,0.04706960543990135,0.030657216906547546,0.4339020252227783,193.9164581298828,0.7667511701583862,0.4292871057987213,0.216955304145813,1.0,738.1283569335938,193.91647338867188
"[1, 32, 16, 8, 4, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.05896533653140068,0.02948266826570034,0.17388536036014557,0.026369834318757057,0.12615756690502167,1380763.875,0.05896533653140068,0.02897970750927925,0.3011959195137024,13807.6396484375,0.9464380145072937,0.9240397214889526,0.24282778799533844,1.0,117295.0234375,13807.6396484375,0.042767468839883804,0.021383734419941902,0.20686571300029755,0.020890574902296066,0.15010966360569,34427.296875,0.042767468839883804,0.02783038467168808,0.396009624004364,344.27294921875,0.8624807000160217,0.3959570527076721,0.20680296421051025,1.0,1309.7464599609375,344.2729797363281
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,SGD,0.2,50,0.01,True,0.055284857749938965,0.027642428874969482,0.1700630933046341,0.024606410413980484,0.09814174473285675,386723.78125,0.055284857749938965,0.02581077255308628,0.2695766091346741,3867.238037109375,0.7362624406814575,0.9178640246391296,0.23512732982635498,1.0,28388.30078125,3867.23779296875,0.04007088392972946,0.02003544196486473,0.2030833661556244,0.019558653235435486,0.13145698606967926,17908.85546875,0.04007088392972946,0.025484178215265274,0.3751448392868042,179.08853149414062,0.7553085684776306,0.3928166329860687,0.2001771330833435,1.0,669.8017578125,179.08856201171875
"[1, 59, 1]","ListWrapper(['sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.05952062830328941,0.029760314151644707,0.16554418206214905,0.026734735816717148,0.1346656233072281,1650463.5,0.05952062830328941,0.029707979410886765,0.3043544292449951,16504.63671875,1.0102657079696655,0.9167557954788208,0.24396850168704987,1.0,140759.28125,16504.63671875,0.04253038763999939,0.021265193819999695,0.19545873999595642,0.02080525830388069,0.1562321037054062,39913.74609375,0.04253038763999939,0.02784046344459057,0.3943546712398529,399.137451171875,0.8976582288742065,0.3886979818344116,0.20622897148132324,1.0,1519.802001953125,399.137451171875
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,0.0399809256196022,0.0199904628098011,0.04323255643248558,0.019181476905941963,0.14360931515693665,2308277.75,0.0399809256196022,0.018164202570915222,nan,23082.77734375,1.0773615837097168,0.6373915672302246,0.19995230436325073,1.0,231066.453125,23082.77734375,0.01871839538216591,0.009359197691082954,0.028759721666574478,0.00931343249976635,0.11915290355682373,8920.337890625,0.01871839538216591,0.013746717013418674,0.312269389629364,89.20338439941406,0.6846133470535278,0.19935043156147003,0.13681519031524658,1.0,247.66781616210938,89.20338439941406
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,0.0588056854903698,0.0294028427451849,0.16351763904094696,0.026405472308397293,0.13195401430130005,1548286.125,0.0588056854903698,0.029149632900953293,0.30020612478256226,15482.861328125,0.9899231195449829,0.9144548177719116,0.24249882996082306,1.0,131498.796875,15482.861328125,0.0418146476149559,0.02090732380747795,0.1902032345533371,0.020464299246668816,0.15545445680618286,39252.94140625,0.0418146476149559,0.027320684865117073,0.3901759088039398,392.5294189453125,0.8931900858879089,0.3849891722202301,0.20448629558086395,1.0,1493.1243896484375,392.5294189453125
