shape,activations,loss_func,normalize,optimizer,validation_split,epochs,eps,experiments,loss,huber_loss,kl_divergence,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,poisson,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_kl_divergence,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_poisson,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation
"[1, 10, 10, 10, 2]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.00698471069336,2.8593735694885254,7.613595008850098,2.7577786445617676,3.293321132659912,3143066.75,23.00698471069336,0.8015949726104736,nan,0.9903175234794617,0.9628595113754272,10.534101486206055,4.796559810638428,1.0,2.3368782997131348,0.9653534889221191,41.69940185546875,4.345281600952148,12.580900192260742,4.24696159362793,4.766042709350586,105.23291778564453,41.69940185546875,1.9555213451385498,nan,1.052329182624817,0.9766616225242615,10.142004013061523,6.457507133483887,1.0,1.3638249635696411,1.0523290634155273
"[1, 10, 10, 10, 2]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,22.847061157226562,2.8353357315063477,7.39591646194458,2.7353968620300293,3.26220965385437,5226648.5,22.847061157226562,0.7904725074768066,nan,0.9959728717803955,0.953763484954834,10.924370765686035,4.779860019683838,1.0,3.2254953384399414,0.9751759767532349,43.60734176635742,4.443408012390137,12.43686580657959,4.3450751304626465,4.863879203796387,108.79535675048828,43.60734176635742,1.9497389793395996,nan,1.0879535675048828,0.996710479259491,10.533354759216309,6.603585720062256,1.0,1.6041672229766846,1.0879535675048828
"[1, 4, 8, 16, 32, 2]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.039920806884766,2.8647031784057617,7.815224647521973,2.7626447677612305,3.3009023666381836,1960233.25,23.039920806884766,0.8098370432853699,nan,0.9960354566574097,0.9650759696960449,10.488184928894043,4.799992084503174,1.0,1.8346967697143555,0.9687057137489319,41.493446350097656,4.334953308105469,12.711456298828125,4.236469268798828,4.754899501800537,103.77680969238281,41.493446350097656,1.9605247974395752,nan,1.0377681255340576,0.9743783473968506,10.097436904907227,6.441540718078613,1.0,1.2298314571380615,1.0377681255340576
"[1, 4, 8, 16, 32, 2]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,22.825979232788086,2.826038360595703,7.3074564933776855,2.7270097732543945,3.248019218444824,6427962.5,22.825979232788086,0.7858285903930664,nan,1.0090951919555664,0.9496147036552429,11.112977027893066,4.77765417098999,0.96875,3.737039566040039,0.9908938407897949,44.55125427246094,4.4901580810546875,12.380146026611328,4.391647815704346,4.909493446350098,110.66746520996094,44.55125427246094,1.9480907917022705,nan,1.1066746711730957,1.006057858467102,10.715811729431152,6.674672603607178,1.0,1.7376692295074463,1.1066746711730957
"[1, 32, 16, 8, 4, 2]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.043012619018555,2.861588716506958,7.500723838806152,2.759877920150757,3.2934303283691406,4090352.25,23.043012619018555,0.7960209250450134,nan,0.984435498714447,0.9628914594650269,10.471433639526367,4.800313949584961,1.0,2.7417051792144775,0.9613659977912903,41.41175842285156,4.329677104949951,12.507204055786133,4.231400012969971,4.7505879402160645,106.10761260986328,41.41175842285156,1.952451467514038,nan,1.061076045036316,0.973494827747345,10.08018970489502,6.435196876525879,1.0,1.4716660976409912,1.0610761642456055
"[1, 32, 16, 8, 4, 2]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,22.91448974609375,2.8480257987976074,7.542648792266846,2.747180461883545,3.2797510623931885,3708354.0,22.91448974609375,0.7981577515602112,nan,0.9897171854972839,0.9588920474052429,10.714755058288574,4.786908149719238,1.0,2.5790059566497803,0.9658836722373962,42.571998596191406,4.390887260437012,12.532491683959961,4.292603492736816,4.811796188354492,106.45830535888672,42.571998596191406,1.9535014629364014,nan,1.0645830631256104,0.9860376715660095,10.32502269744873,6.524721622467041,1.0,1.4314963817596436,1.0645830631256104
"[1, 2]",ListWrapper(['linear']),MeanSquaredError,False,SGD,0.2,50,0.01,True,22.667789459228516,2.837704658508301,8.484346389770508,2.7369914054870605,3.2738399505615234,1514043.5,22.667789459228516,0.8204818964004517,nan,0.9829189777374268,0.9571638107299805,10.499221801757812,4.7610697746276855,0.96875,1.686560869216919,0.9547454118728638,42.281734466552734,4.379303455352783,13.001691818237305,4.280479431152344,4.79658317565918,102.52732849121094,42.281734466552734,1.9667298793792725,nan,1.025273323059082,0.9829201698303223,10.319742202758789,6.502440452575684,1.0,1.1019185781478882,1.025273323059082
"[1, 14, 41, 36, 32, 45, 2]","ListWrapper(['linear', 'linear', 'sigmoid', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,22.924928665161133,2.8496193885803223,7.564606189727783,2.748664379119873,3.281956195831299,3522464.5,22.924928665161133,0.7992475628852844,nan,0.9903987050056458,0.9595368504524231,10.691285133361816,4.787998199462891,1.0,2.5000734329223633,0.966193437576294,42.46965789794922,4.385637283325195,12.546875,4.287344932556152,4.806519508361816,106.1841812133789,42.46965789794922,1.9541032314300537,nan,1.0618418455123901,0.9849562644958496,10.303919792175293,6.51687479019165,1.0,1.4102060794830322,1.0618418455123901
"[1, 10, 10, 10, 2]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,20.948246002197266,2.6683943271636963,4.776629447937012,2.5627102851867676,3.0988969802856445,2480900.0,20.948246002197266,0.608529806137085,nan,1.0339903831481934,0.9060161709785461,12.047998428344727,4.576925277709961,1.0,3.517397880554199,1.0077018737792969,45.85541534423828,4.462706565856934,8.49571704864502,4.36447811126709,4.886896133422852,109.67339324951172,45.85541534423828,1.4141119718551636,nan,1.0967339277267456,1.001427173614502,11.495161056518555,6.771662712097168,1.0,1.5909838676452637,1.0967339277267456
"[1, 10, 10, 10, 2]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,22.826709747314453,2.828139066696167,7.298087120056152,2.728771209716797,3.250901937484741,6561541.0,22.826709747314453,0.785356342792511,nan,1.0096802711486816,0.9504575133323669,11.059553146362305,4.777730464935303,0.96875,3.801287889480591,0.9924226999282837,44.31391143798828,4.479096412658691,12.370338439941406,4.380537986755371,4.898144721984863,110.79051208496094,44.31391143798828,1.947889804840088,nan,1.1079051494598389,1.0037323236465454,10.67059326171875,6.656869411468506,1.0,1.7639790773391724,1.1079051494598389
